id,poi_name,poi_id,verified,country,tweet_text,tweet_lang,text_en,hashtags,tweet_urls,tweet_date,tweet_emoticons,mentions,text_hi,text_es
1463613442829565961,CDCgov,146569971,True,USA,"🧪COVID-19 Science Update:

Read the latest #COVID19 research on vaccine effectiveness in children, post-COVID conditions, health disparities, and more.

👓Read the full update: https://t.co/3kOoVqyZeG. https://t.co/un51TQo52j",en,"COVID-19 Science Update:Read the latest research on vaccine effectiveness in children, post-COVID conditions, health disparities, and more.Read the full update: .",['COVID19'],['https://t.co/3kOoVqyZeG'],2021-11-24T21:00:00Z,"['👓', '🧪']",,,
1463605863017594885,CDCgov,146569971,True,USA,HCPs: Your patients are counting on you. CDC has resources to help you talk with your patients about how to relieve symptoms and what to do to feel better. Learn more: https://t.co/pyKwqi0xqD. #USAAW21 #BeAntibioticsAware https://t.co/5RGgrEu2eJ,en,HCPs: Your patients are counting on you. CDC has resources to help you talk with your patients about how to relieve symptoms and what to do to feel better. Learn more: .,"['USAAW21', 'BeAntibioticsAware']",['https://t.co/pyKwqi0xqD'],2021-11-24T21:00:00Z,,,,
1463598381486546944,CDCgov,146569971,True,USA,"Have a happy, healthy holiday! Always wash your hands when making your #ThanksgivingDinner. Wash with soap and water for 20 seconds before, during, and after preparing your food and before eating it. Learn more tips: https://t.co/RDMfwzFLG4. https://t.co/DDKL183u1Q",en,"Have a happy, healthy holiday! Always wash your hands when making your . Wash with soap and water for seconds before, during, and after preparing your food and before eating it. Learn more tips: .",['ThanksgivingDinner'],['https://t.co/RDMfwzFLG4'],2021-11-24T20:00:00Z,,,,
1463585969282633731,CDCgov,146569971,True,USA,"Getting vaccinated against #COVID19 helps protect you from getting sick or severely ill with COVID-19. It can also help protect the people around you.
More info: https://t.co/KcuQtfPcFd. https://t.co/ygOcanQP4o",en,Getting vaccinated against helps protect you from getting sick or severely ill with COVID-19. It can also help protect the people around you.More info: .,['COVID19'],['https://t.co/KcuQtfPcFd'],2021-11-24T19:00:00Z,,,,
1463572631706378248,CDCgov,146569971,True,USA,The past two years have been tough for many of us. Did you know that practicing gratitude can help us cope? Find ideas: https://t.co/YojIxeD1Fd. #HowRightNow https://t.co/v6EVWEJyod,en,The past two years have been tough for many of us. Did you know that practicing gratitude can help us cope? Find ideas: .,['HowRightNow'],['https://t.co/YojIxeD1Fd'],2021-11-24T18:00:00Z,,,,
1463552996864757764,CDCgov,146569971,True,USA,"#COVID19 UPDATE: CDC expanded COVID-19 booster eligibility to include everyone ages 18 &amp; older.

You may get a booster dose 6 months after you’re fully vaccinated with a 2-dose vaccine &amp; 2 months after you’re fully vaccinated with a 1-dose vaccine.

More: https://t.co/77CTFv1g4m. https://t.co/eCp5DyoIWK",en,UPDATE: CDC expanded COVID-19 booster eligibility to include everyone ages &amp; older.You may get a booster dose months after youre fully vaccinated with a -dose vaccine &amp; months after youre fully vaccinated with a -dose vaccine.More: .,['COVID19'],['https://t.co/77CTFv1g4m'],2021-11-24T17:00:00Z,['xp'],,,
1463551808698208259,CDCgov,146569971,True,USA,RT @CDC_NCEZID: Washing your #Thanksgiving turkey before cooking it can make you and your family sick by spreading germs around your kitche…,en,: Washing your turkey before cooking it can make you and your family sick by spreading germs around your kitche,['Thanksgiving'],,2021-11-24T17:00:00Z,,['CDC_NCEZID'],,
1463545461021843462,CDCgov,146569971,True,USA,"As #USAAW21 comes to an end, remember #AntibioticResistance is a #OneHealth problem. Any time #antibiotics are used in people, animals, or the environment, they can contribute to the development of #AntibioticResistance. Learn more: https://t.co/ksR5URKKc4. https://t.co/8ub0G4N3SJ",en,"As comes to an end, remember is a problem. Any time are used in people, animals, or the environment, they can contribute to the development of . Learn more: .","['USAAW21', 'AntibioticResistance', 'OneHealth', 'antibiotics', 'AntibioticResistance']",['https://t.co/ksR5URKKc4'],2021-11-24T17:00:00Z,,,,
1463540797391974410,CDCgov,146569971,True,USA,RT @CDCEnvironment: Hosting a gathering? Use this new tool from @CDCgov and @NIST to learn how to reduce #COVID19 and other virus particles…,en,: Hosting a gathering? Use this new tool from and to learn how to reduce and other virus particles,['COVID19'],,2021-11-24T16:00:00Z,,"['CDCEnvironment', 'CDCgov', 'NIST']",,
1463537953930715149,CDCgov,146569971,True,USA,"How many of these are you planning to check off this winter?

Whether you are visiting family or catching a concert, driving or flying, travel safer by getting vaxxed.

Winter travels are just a shot away!

Visit https://t.co/2akIUZ14Rd to book your COVID-19 shot today! https://t.co/A9PPnuOcop",en,"How many of these are you planning to check off this winter?Whether you are visiting family or catching a concert, driving or flying, travel safer by getting vaxxed.Winter travels are just a shot away!Visit to book your COVID-19 shot today!",,['https://t.co/2akIUZ14Rd'],2021-11-24T16:00:00Z,,,,
1463266141137248257,CDCgov,146569971,True,USA,Parents &amp; Guardians: Children with underlying medical conditions are at increased risk for severe #COVID19 outcomes. Help keep them well and out of the hospital by getting them vaccinated as soon as you can. More: https://t.co/XBeAVe741r. https://t.co/oNUghfjIZN,en,Parents &amp; Guardians: Children with underlying medical conditions are at increased risk for severe outcomes. Help keep them well and out of the hospital by getting them vaccinated as soon as you can. More: .,['COVID19'],['https://t.co/XBeAVe741r'],2021-11-23T22:00:00Z,,,,
1463262337444495364,CDCgov,146569971,True,USA,"Antibiotics can save lives but can contribute to #AntibioticResistance, a threat to public health. @POTUS asks all Americans to observe #USAAW21 by improving antibiotic use and prescribing. Full @WhiteHouse proclamation: https://t.co/IJTunMBaUh.",en,"Antibiotics can save lives but can contribute to , a threat to public health. asks all Americans to observe by improving antibiotic use and prescribing. Full proclamation: .","['AntibioticResistance', 'USAAW21']",['https://t.co/IJTunMBaUh'],2021-11-23T22:00:00Z,,"['POTUS', 'WhiteHouse']",,
1463258556921225224,CDCgov,146569971,True,USA,#Cdiff can affect anyone. People taking antibiotics are 7 to 10 times more likely to get C. diff infection while on them &amp; during the month after. Learn more about your risk for C. diff: https://t.co/Y1v5q3sTyd. #NovemberCdiffAwareness #CdiffInfectionAwareness #BeAntibioticsAware https://t.co/1kneUOps5A,en,can affect anyone. People taking antibiotics are to times more likely to get C. diff infection while on them &amp; during the month after. Learn more about your risk for C. diff: .,"['Cdiff', 'NovemberCdiffAwareness', 'CdiffInfectionAwareness', 'BeAntibioticsAware']",['https://t.co/Y1v5q3sTyd'],2021-11-23T22:00:00Z,,,,
1463251264435900425,CDCgov,146569971,True,USA,Preparing a holiday meal this Thanksgiving? Cook your turkey thoroughly and always use a food thermometer. Learn more about meal prep for the holidays:  https://t.co/kNZkdPoqHm. https://t.co/E8o9WE99Ge,en,Preparing a holiday meal this Thanksgiving? Cook your turkey thoroughly and always use a food thermometer. Learn more about meal prep for the holidays: .,,['https://t.co/kNZkdPoqHm'],2021-11-23T21:00:00Z,,,,
1463238935144980482,CDCgov,146569971,True,USA,"Did you know? Misinformation spread on social media and through other channels can affect confidence in #COVID19 vaccines and vaccination rates. In this #DYK? edition, learn how to help increase COVID-19 vaccine confidence by countering misinformation: https://t.co/FyWIbfF3hf. https://t.co/jDZHXa34jp",en,"Did you know? Misinformation spread on social media and through other channels can affect confidence in vaccines and vaccination rates. In this ? edition, learn how to help increase COVID-19 vaccine confidence by countering misinformation: .","['COVID19', 'DYK']",['https://t.co/FyWIbfF3hf'],2021-11-23T20:00:00Z,,,,
1463225091517517831,CDCgov,146569971,True,USA,"Everyone ages 18+ is eligible for a #COVID19 booster shot at least 6 months after a 2-dose vaccine or 2 months after a 1-dose vaccine. 

When it’s time, schedule your booster by:
💻 Going to https://t.co/2akIUZ14Rd
📱 Texting your ZIP code to 438829
📞 Calling 1-800-232-0233 https://t.co/jNvDFwohFy",en,"Everyone ages + is eligible for a booster shot at least months after a -dose vaccine or months after a -dose vaccine. When its time, schedule your booster by: Going to Texting your ZIP code to Calling -800-232-0233",['COVID19'],['https://t.co/2akIUZ14Rd'],2021-11-23T19:00:00Z,"['💻', '📱', '📞']",,,
1463208490202238986,CDCgov,146569971,True,USA,"In past flu seasons, about half of the adults hospitalized with #flu had heart disease. Getting a flu shot is the best way to #FightFlu and protect yourself. There's still time to get a flu shot this season. Get yours today. https://t.co/iDYyfPo6cH. https://t.co/WtNZlbmUBA",en,"In past flu seasons, about half of the adults hospitalized with had heart disease. Getting a flu shot is the best way to and protect yourself. There's still time to get a flu shot this season. Get yours today. .","['flu', 'FightFlu']",['https://t.co/iDYyfPo6cH'],2021-11-23T18:00:00Z,,,,
1463190696362668039,CDCgov,146569971,True,USA,New 2020 CDC map shows 91% of U.S. hospitals report having an #antibiotic stewardship program that meets all 7 of CDC’s hospital Core Elements. These programs are key to protecting patients &amp; combating #AntibioticResistance. Learn more: https://t.co/qxIkKBvmOO. #USAAW21 https://t.co/L2nnFpOmjy,en,New CDC map shows % of U.S. hospitals report having an stewardship program that meets all of CDCs hospital Core Elements. These programs are key to protecting patients &amp; combating . Learn more: .,"['antibiotic', 'AntibioticResistance', 'USAAW21']",['https://t.co/qxIkKBvmOO'],2021-11-23T17:00:00Z,,,,
1463175614974894092,CDCgov,146569971,True,USA,"See CDC’s Data Site for the latest numbers on COVID-19 cases during pregnancy, including how many pregnant women were hospitalized, admitted to the intensive care unit, or needed a ventilator: https://t.co/NT9iDJEqFl. https://t.co/Lh8IqfmGmA",en,"See CDCs Data Site for the latest numbers on COVID-19 cases during pregnancy, including how many pregnant women were hospitalized, admitted to the intensive care unit, or needed a ventilator: .",,['https://t.co/NT9iDJEqFl'],2021-11-23T16:00:00Z,,,,
1462905695376920589,CDCgov,146569971,True,USA,"UPDATE: Everyone ages 18 years and older is eligible for a #COVID19 booster shot. 

You may get your booster 6 months after you’re fully vaccinated with a 2-dose vaccine &amp; 2 months after you’re fully vaccinated with a 1-dose vaccine. 

More: https://t.co/77CTFuJFcO. https://t.co/tte5D6e2JO",en,UPDATE: Everyone ages years and older is eligible for a booster shot. You may get your booster months after youre fully vaccinated with a -dose vaccine &amp; months after youre fully vaccinated with a -dose vaccine. More: .,['COVID19'],['https://t.co/77CTFuJFcO'],2021-11-22T22:00:00Z,,,,
1462901226689941508,CDCgov,146569971,True,USA,RT @CDC_NCEZID: Is turkey or roast on your holiday menu? Prevent food poisoning from bacteria like C. perfringens: Refrigerate leftovers wi…,en,: Is turkey or roast on your holiday menu? Prevent food poisoning from bacteria like C. perfringens: Refrigerate leftovers wi,,,2021-11-22T22:00:00Z,,['CDC_NCEZID'],,
1462895274410618887,CDCgov,146569971,True,USA,"As of November 22, 2021, 230.7 million people have received at least one dose of a #COVID19 vaccine. Of those, 196.4 million are fully vaccinated. Getting vaccinated is safe, easy, and free. Make your vaccination appointment today. More: https://t.co/zYLe3H12re. https://t.co/2mpD4zqi0e",en,"As of November , , million people have received at least one dose of a vaccine. Of those, million are fully vaccinated. Getting vaccinated is safe, easy, and free. Make your vaccination appointment today. More: .",['COVID19'],['https://t.co/zYLe3H12re'],2021-11-22T21:00:00Z,,,,
1462881091669446657,CDCgov,146569971,True,USA,"The early rollout of the U.S. #COVID19 vaccination program was associated with decreases in COVID-19 cases, emergency department visits, and hospitalizations among adults 65+. #SleeveUp today. More data: https://t.co/wPyArsSImh. https://t.co/2qZHHAHF99",en,"The early rollout of the U.S. vaccination program was associated with decreases in COVID-19 cases, emergency department visits, and hospitalizations among adults +. today. More data: .","['COVID19', 'SleeveUp']",['https://t.co/wPyArsSImh'],2021-11-22T21:00:00Z,,,,
1462860185073078280,CDCgov,146569971,True,USA,People with asthma are more likely to develop pneumonia when they get sick with #flu. The best way to #FightFlu and reduce your risk is to get a flu shot. Get yours today. https://t.co/hm3M5cH1pp https://t.co/md9SLTH9kb,en,People with asthma are more likely to develop pneumonia when they get sick with . The best way to and reduce your risk is to get a flu shot. Get yours today.,"['flu', 'FightFlu']",['https://t.co/hm3M5cH1pp'],2021-11-22T19:00:00Z,,,,
1462847104896880650,CDCgov,146569971,True,USA,The first step in understanding your #BreastCancer risk: Find out if any relatives have had breast cancer and at what ages. Use this checklist to help you take action. https://t.co/ibYpxAHWwZ #BCAM https://t.co/wcQeEzb56j,en,The first step in understanding your risk: Find out if any relatives have had breast cancer and at what ages. Use this checklist to help you take action.,"['BreastCancer', 'BCAM']",['https://t.co/ibYpxAHWwZ'],2021-11-22T18:00:00Z,,,,
1462831512655745029,CDCgov,146569971,True,USA,"Just like adults, children are considered fully vaccinated against #COVID19 two weeks after their second dose. https://t.co/oV6NgGGUSb https://t.co/yEaJwXPK1v",en,"Just like adults, children are considered fully vaccinated against two weeks after their second dose.",['COVID19'],['https://t.co/oV6NgGGUSb'],2021-11-22T17:00:00Z,['XP'],,,
1462813224550682624,CDCgov,146569971,True,USA,"Antibiotic-resistant bacteria &amp; fungi cause more than 2.8M infections &amp; 35K deaths in the U.S. each year, according to CDC’s 2019 #CDCARThreats. Improving how you use abx is one way to protect yourself and your family from these infections: https://t.co/wyXbcZi3LX. #WAAW https://t.co/msEuBwT5Ej",en,"Antibiotic-resistant bacteria &amp; fungi cause more than M infections &amp; K deaths in the U.S. each year, according to CDCs . Improving how you use abx is one way to protect yourself and your family from these infections: .","['CDCARThreats', 'WAAW']",['https://t.co/wyXbcZi3LX'],2021-11-22T16:00:00Z,,,,
1462520451524141066,CDCgov,146569971,True,USA,#Parents and caregivers: COVID-19 vaccines are safe and effective at preventing severe illness and death from #COVID19. Getting a COVID-19 vaccine is one of the best ways to slow the spread of COVID-19. Find a vaccine near you at https://t.co/2akIUZ14Rd. https://t.co/zTJ0yT4Zgy,en,and caregivers: COVID-19 vaccines are safe and effective at preventing severe illness and death from . Getting a COVID-19 vaccine is one of the best ways to slow the spread of COVID-19. Find a vaccine near you at .,"['Parents', 'COVID19']",['https://t.co/2akIUZ14Rd'],2021-11-21T21:00:00Z,,,,
1462483454218711046,CDCgov,146569971,True,USA,"#DYK? Everyone ages 5 years and older is recommended to get vaccinated against #COVID19. 

Use this chart to determine which COVID-19 vaccines are available depending on a person’s age.

https://t.co/oV6NgGGUSb https://t.co/PQeyOihrSU",en,? Everyone ages years and older is recommended to get vaccinated against . Use this chart to determine which COVID-19 vaccines are available depending on a persons age.,"['DYK', 'COVID19']",['https://t.co/oV6NgGGUSb'],2021-11-21T18:00:00Z,,,,
1462474645265960964,CDCgov,146569971,True,USA,"All people deserve a fair opportunity to be as healthy as possible, including having protection against #COVID19. Support health equity. Get a COVID-19 vaccine as soon as you can. More: https://t.co/yJFqxDIlhb. https://t.co/H4DW2Cw09q",en,"All people deserve a fair opportunity to be as healthy as possible, including having protection against . Support health equity. Get a COVID-19 vaccine as soon as you can. More: .",['COVID19'],['https://t.co/yJFqxDIlhb'],2021-11-21T18:00:00Z,['xD'],,,
1462165358735986696,CDCgov,146569971,True,USA,"UPDATE: Everyone ages 18 years and older is eligible for a #COVID19 booster shot. 

You may get your booster 6 months after you’re fully vaccinated with a 2-dose vaccine &amp; 2 months after you’re fully vaccinated with a 1-dose vaccine. 

More: https://t.co/77CTFuJFcO https://t.co/g3UFjXvCFb",en,UPDATE: Everyone ages years and older is eligible for a booster shot. You may get your booster months after youre fully vaccinated with a -dose vaccine &amp; months after youre fully vaccinated with a -dose vaccine. More:,['COVID19'],['https://t.co/77CTFuJFcO'],2021-11-20T21:00:00Z,,,,
1462149503251890176,CDCgov,146569971,True,USA,#DidYouKnow that by 18 months most children will begin to play “pretend”? Check out more milestones to look for on #UniversalChildrensDay! Visit CDC’s Milestones page for our checklist and other resources: https://t.co/61CTwwW8RZ. #MilestonesMatter https://t.co/R0CUGpi3mV,en,that by months most children will begin to play pretend? Check out more milestones to look for on ! Visit CDCs Milestones page for our checklist and other resources: .,"['DidYouKnow', 'UniversalChildrensDay', 'MilestonesMatter']",['https://t.co/61CTwwW8RZ'],2021-11-20T20:00:00Z,,,,
1462117298219663363,CDCgov,146569971,True,USA,"CDC closes investigation for Salmonella outbreaks linked to backyard poultry. Any chickens, ducks, &amp; turkeys can carry germs like Salmonella. Learn tips on how to stay healthy around your flock, such as keeping a bottle of hand sanitizer at your coop. https://t.co/EeVY0HVEHk https://t.co/lGOa2v1vQA",en,"CDC closes investigation for Salmonella outbreaks linked to backyard poultry. Any chickens, ducks, &amp; turkeys can carry germs like Salmonella. Learn tips on how to stay healthy around your flock, such as keeping a bottle of hand sanitizer at your coop.",,['https://t.co/EeVY0HVEHk'],2021-11-20T18:00:00Z,,,,
1461837881740251144,CDCgov,146569971,True,USA,"UPDATE: Everyone ages 18+ is eligible for a #COVID19 booster.

If you got an mRNA vaccine, you may get a booster dose 6 months after being fully vaccinated. 

If you got a one-dose vaccine, you may get a booster dose 2 months after being fully vaccinated. https://t.co/h0qVLjSlKN https://t.co/thVFQgcTK1",en,"UPDATE: Everyone ages + is eligible for a booster.If you got an mRNA vaccine, you may get a booster dose months after being fully vaccinated. If you got a one-dose vaccine, you may get a booster dose months after being fully vaccinated.",['COVID19'],['https://t.co/h0qVLjSlKN'],2021-11-19T23:00:00Z,,,,
1461830437530214407,CDCgov,146569971,True,USA,"Today, @CDCDirector Rochelle Walensky endorsed the ACIP expanded recs for #COVID19 booster shots to include all adults ages 18 years and older who received a Pfizer-BioNTech or Moderna vaccine at least six months after their second dose. Full statement: https://t.co/h0qVLjSlKN.",en,"Today, Rochelle Walensky endorsed the ACIP expanded recs for booster shots to include all adults ages years and older who received a Pfizer-BioNTech or Moderna vaccine at least six months after their second dose. Full statement: .",['COVID19'],['https://t.co/h0qVLjSlKN'],2021-11-19T23:00:00Z,['xp'],['CDCDirector'],,
1461812788666548225,CDCgov,146569971,True,USA,CDC recommends all children ages 5-11 years get vaccinated against #COVID19. CDC’s COVID Data Tracker allows you to track vaccinations in the United States by age for people ages 5 years and older. View the data: https://t.co/bk4Numz6Zz. https://t.co/RfigJQ8359,en,CDC recommends all children ages -11 years get vaccinated against . CDCs COVID Data Tracker allows you to track vaccinations in the United States by age for people ages years and older. View the data: .,['COVID19'],['https://t.co/bk4Numz6Zz'],2021-11-19T22:00:00Z,,,,
1461805239586152450,CDCgov,146569971,True,USA,New study: Children &amp; adolescents hospitalized w/ #COVID19 who also have underlying medical conditions like obesity &amp; diabetes were at greater risk of being admitted to the ICU or needing a ventilator. Get vaccinated. Kids ages 5+ years now eligible. More: https://t.co/rL3ZFmeFXb https://t.co/WyNUVmlYFf,en,New study: Children &amp; adolescents hospitalized w/ who also have underlying medical conditions like obesity &amp; diabetes were at greater risk of being admitted to the ICU or needing a ventilator. Get vaccinated. Kids ages + years now eligible. More:,['COVID19'],['https://t.co/rL3ZFmeFXb'],2021-11-19T21:00:00Z,,,,
